activo,franja,estrategia,IS_n,IS_pnlR,IS_win,IS_PF,IS_DD,OOS_n,OOS_pnlR,OOS_win,OOS_PF,OOS_DD
BTCUSDm,10-12,RSI2,126,-14.0,29.4,0.84,-22.0,109,8.0,35.8,1.11,-13.0
BTCUSDm,10-12,VWAP,55,11.0,40.0,1.33,-7.0,50,8.0,38.0,1.27,-18.0
BTCUSDm,12-14,FVG,98,-53.0,15.3,0.36,-52.0,82,-55.0,11.0,0.25,-59.0
BTCUSDm,12-14,BREAK24,179,23.0,37.4,1.21,-17.0,192,15.0,35.4,1.12,-18.0
BTCUSDm,12-14,RETEST24,193,-17.0,29.5,0.87,-23.0,198,-20.0,29.8,0.86,-27.0
BTCUSDm,12-14,MOMEMA,346,20.0,35.0,1.09,-31.0,323,72.0,40.6,1.38,-16.0
BTCUSDm,12-14,RSI2,185,12.0,35.1,1.1,-18.0,196,4.0,33.7,1.03,-17.0
BTCUSDm,12-14,VWAP,68,-11.0,27.9,0.78,-19.0,74,10.0,37.8,1.22,-11.0
BTCUSDm,14-16,FVG,85,-66.0,7.1,0.15,-67.0,67,-44.0,10.4,0.24,-44.0
BTCUSDm,14-16,BREAK24,149,-18.0,28.9,0.83,-25.0,122,7.0,35.2,1.09,-19.0
BTCUSDm,14-16,RETEST24,172,-8.0,31.4,0.93,-24.0,133,-23.0,26.3,0.75,-26.0
BTCUSDm,14-16,MOMEMA,326,2.0,32.8,1.01,-25.0,245,0.0,32.7,1.0,-25.0
BTCUSDm,14-16,RSI2,151,12.0,35.8,1.12,-11.0,126,-8.0,31.0,0.91,-13.0
BTCUSDm,14-16,VWAP,74,1.0,33.8,1.02,-7.0,52,5.0,36.5,1.15,-7.0
BTCUSDm,16-18,FVG,90,-80.0,3.3,0.07,-79.0,65,-47.0,9.2,0.2,-46.0
BTCUSDm,16-18,BREAK24,118,-23.0,26.3,0.73,-31.0,91,-6.0,30.8,0.9,-18.0
BTCUSDm,16-18,RETEST24,133,2.0,33.1,1.02,-14.0,107,12.0,35.5,1.19,-16.0
BTCUSDm,16-18,MOMEMA,275,5.0,33.5,1.03,-20.0,243,-17.0,30.5,0.9,-43.0
BTCUSDm,16-18,RSI2,120,24.0,39.2,1.34,-14.0,96,10.0,35.4,1.17,-10.0
BTCUSDm,16-18,VWAP,42,3.0,35.7,1.11,-8.0,38,-2.0,31.6,0.92,-6.0
BTCUSDm,18-20,FVG,84,-68.0,6.0,0.13,-69.0,72,-51.0,9.7,0.22,-50.0
BTCUSDm,18-20,BREAK24,94,-9.0,29.8,0.86,-19.0,79,5.0,35.4,1.1,-11.0
BTCUSDm,18-20,RETEST24,125,1.0,33.6,1.01,-19.0,105,-19.0,26.7,0.75,-22.0
BTCUSDm,18-20,MOMEMA,255,-8.0,31.8,0.95,-29.0,247,-32.0,28.7,0.82,-47.0
BTCUSDm,18-20,RSI2,99,9.0,36.4,1.14,-15.0,80,4.0,35.0,1.08,-10.0
BTCUSDm,18-20,VWAP,24,3.0,37.5,1.2,-5.0,34,9.0,41.2,1.47,-5.0
BTCUSDm,20-22,FVG,83,-56.0,10.8,0.24,-59.0,68,-41.0,13.2,0.31,-40.0
BTCUSDm,20-22,BREAK24,100,2.0,34.0,1.03,-17.0,101,10.0,36.6,1.16,-11.0
BTCUSDm,20-22,RETEST24,125,51.0,46.4,1.78,-8.0,122,5.0,34.4,1.06,-15.0
BTCUSDm,20-22,MOMEMA,272,-16.0,31.2,0.91,-22.0,231,31.0,37.7,1.22,-11.0
BTCUSDm,20-22,RSI2,110,32.0,42.7,1.52,-9.0,112,23.0,40.2,1.34,-7.0
BTCUSDm,20-22,VWAP,25,-4.0,28.0,0.78,-9.0,34,11.0,44.1,1.58,-7.0
BTCUSDm,22-24,FVG,88,-51.0,13.6,0.32,-50.0,94,-52.0,14.9,0.35,-53.0
BTCUSDm,22-24,BREAK24,112,17.0,38.4,1.25,-9.0,101,4.0,34.7,1.06,-11.0
BTCUSDm,22-24,RETEST24,141,11.0,35.5,1.12,-12.0,119,7.0,35.3,1.09,-18.0
BTCUSDm,22-24,MOMEMA,296,27.0,36.1,1.14,-23.0,256,22.0,35.9,1.14,-22.0
BTCUSDm,22-24,RSI2,115,5.0,34.8,1.07,-10.0,105,6.0,35.2,1.09,-10.0
BTCUSDm,22-24,VWAP,24,13.0,50.0,2.18,-4.0,38,-2.0,31.6,0.92,-8.0
