activo,franja,estrat,tp,ttl,P1_n,P1_pnl,P1_win,P1_PF,P1_DD,P2_n,P2_pnl,P2_win,P2_PF,P2_DD,P3_n,P3_pnl,P3_win,P3_PF,P3_DD
XAUUSDm,02-04,VWAP,2.5,24,240,6.0,28.3,1.04,-28.0,148,11.0,29.7,1.11,-31.0,103,-3.0,25.2,0.96,-13.5
XAUUSDm,02-04,VWAP,2.5,48,240,15.5,30.4,1.09,-29.0,148,13.0,31.1,1.13,-31.5,103,2.0,29.1,1.03,-13.5
XAUUSDm,02-04,VWAP,3.0,24,235,-3.0,23.4,0.98,-40.0,145,4.0,24.1,1.04,-33.0,103,-9.0,19.4,0.87,-21.0
XAUUSDm,02-04,VWAP,3.0,48,235,9.0,26.0,1.05,-39.0,145,15.0,27.6,1.14,-31.0,103,-7.0,23.3,0.91,-21.0
XAUUSDm,02-04,RSI2,2.0,24,323,-65.0,26.3,0.72,-70.0,189,-6.0,31.2,0.95,-28.0,148,15.0,35.1,1.17,-10.0
XAUUSDm,02-04,RSI2,2.0,48,323,-62.0,26.9,0.74,-67.0,189,-6.0,32.3,0.95,-28.0,148,11.0,35.8,1.12,-9.0
XAUUSDm,02-04,RSI2,2.5,24,322,-64.5,22.0,0.73,-69.5,186,-33.0,21.5,0.75,-41.5,147,9.0,28.6,1.09,-14.0
XAUUSDm,02-04,RSI2,2.5,48,322,-59.5,23.3,0.76,-68.5,186,-28.5,24.2,0.8,-41.0,147,7.0,29.9,1.07,-17.0
XAUUSDm,02-04,RSI2,3.0,24,321,-54.0,19.6,0.78,-68.0,184,-44.0,16.8,0.68,-51.0,147,2.0,22.4,1.02,-19.0
XAUUSDm,02-04,RSI2,3.0,48,321,-37.0,22.1,0.85,-57.0,184,-39.0,19.6,0.73,-54.0,147,5.0,25.9,1.05,-21.0
XAUUSDm,04-06,BREAK24,2.0,24,399,33.0,36.1,1.13,-27.0,231,15.0,35.5,1.1,-27.0,213,-9.0,31.9,0.94,-18.0
XAUUSDm,04-06,BREAK24,2.0,48,399,33.0,36.1,1.13,-27.0,231,15.0,35.5,1.1,-27.0,213,-9.0,31.9,0.94,-18.0
XAUUSDm,04-06,BREAK24,2.5,24,380,50.5,32.4,1.2,-24.0,218,3.5,28.9,1.02,-33.5,200,13.5,30.5,1.1,-23.0
XAUUSDm,04-06,BREAK24,2.5,48,380,50.5,32.4,1.2,-24.0,218,2.5,28.9,1.02,-33.5,200,13.5,30.5,1.1,-23.0
XAUUSDm,04-06,BREAK24,3.0,24,363,62.0,29.2,1.24,-25.0,208,17.0,26.9,1.11,-28.0,193,23.0,28.0,1.17,-34.0
XAUUSDm,04-06,BREAK24,3.0,48,363,61.0,29.2,1.24,-25.0,208,16.0,26.9,1.11,-28.0,193,23.0,28.0,1.17,-34.0
XAUUSDm,04-06,BREAK48,2.0,24,233,25.0,36.9,1.17,-14.0,150,21.0,38.0,1.23,-10.0,114,21.0,39.5,1.3,-8.0
XAUUSDm,04-06,BREAK48,2.0,48,233,25.0,36.9,1.17,-14.0,150,21.0,38.0,1.23,-10.0,114,21.0,39.5,1.3,-8.0
XAUUSDm,04-06,BREAK48,2.5,24,222,40.5,33.8,1.28,-14.5,139,13.5,30.9,1.14,-18.0,107,40.0,39.3,1.62,-8.5
XAUUSDm,04-06,BREAK48,2.5,48,222,40.5,33.8,1.28,-14.5,139,11.5,30.9,1.12,-19.0,107,40.0,39.3,1.62,-8.5
XAUUSDm,04-06,BREAK48,3.0,24,208,57.0,31.7,1.4,-19.0,132,30.0,30.3,1.33,-11.0,101,47.0,36.6,1.73,-12.0
XAUUSDm,04-06,BREAK48,3.0,48,208,56.0,31.7,1.39,-19.0,132,28.0,30.3,1.3,-12.0,101,47.0,36.6,1.73,-12.0
XAUUSDm,04-06,MOMEMA,2.0,24,771,90.0,37.2,1.19,-23.0,461,49.0,36.9,1.17,-23.0,417,51.0,37.4,1.2,-16.0
XAUUSDm,04-06,MOMEMA,2.0,48,771,90.0,37.2,1.19,-23.0,461,49.0,36.9,1.17,-23.0,417,51.0,37.4,1.2,-16.0
XAUUSDm,04-06,MOMEMA,2.5,24,716,97.0,32.4,1.2,-42.5,429,-18.5,27.3,0.94,-53.0,385,66.5,33.5,1.26,-15.5
XAUUSDm,04-06,MOMEMA,2.5,48,716,99.5,32.5,1.21,-42.5,429,-16.0,27.5,0.95,-53.0,385,66.5,33.5,1.26,-15.5
XAUUSDm,04-06,MOMEMA,3.0,24,676,118.0,29.3,1.25,-40.0,410,-13.0,24.1,0.96,-60.0,369,80.0,30.4,1.31,-15.0
XAUUSDm,04-06,MOMEMA,3.0,48,676,124.0,29.6,1.26,-38.0,410,-10.0,24.4,0.97,-60.0,369,83.0,30.6,1.32,-15.0
XAUUSDm,04-06,EMACROSS,2.0,24,84,27.0,44.0,1.57,-5.0,36,-3.0,30.6,0.88,-9.0,47,-14.0,23.4,0.61,-20.0
XAUUSDm,04-06,EMACROSS,2.0,48,84,27.0,44.0,1.57,-5.0,36,-3.0,30.6,0.88,-9.0,47,-14.0,23.4,0.61,-20.0
XAUUSDm,04-06,EMACROSS,2.5,24,84,31.5,39.3,1.62,-6.0,36,2.5,30.6,1.1,-7.0,47,-12.0,21.3,0.68,-20.0
XAUUSDm,04-06,EMACROSS,2.5,48,84,31.5,39.3,1.62,-6.0,36,2.5,30.6,1.1,-7.0,47,-12.0,21.3,0.68,-20.0
XAUUSDm,04-06,EMACROSS,3.0,24,84,33.0,34.5,1.61,-6.0,36,0.0,25.0,1.0,-10.0,47,-7.0,21.3,0.81,-18.0
XAUUSDm,04-06,EMACROSS,3.0,48,84,32.0,34.5,1.58,-6.0,36,0.0,25.0,1.0,-10.0,47,-7.0,21.3,0.81,-18.0
XAUUSDm,04-06,RETEST24,2.0,24,461,-100.0,26.0,0.71,-103.0,271,-13.0,31.7,0.93,-26.0,225,21.0,36.4,1.15,-14.0
