entry_time,exit_time,type,entry,sl,tp,vol,pnl,result
1772095800,1772106840,buy,5180.5045,5164.092730683348,5221.078923291629,0.36,-5.9082369539946376,-1
1772107140,1772111040,buy,5165.095,5179.573880943583,5205.149135558203,0.37,5.35718594912576,-1
1772111100,1772116200,buy,5178.371,5161.577141001354,5219.900647496614,0.36,-6.0457892395125965,-1
1772116560,1772119740,sell,5169.8485,5140.396090048085,5126.0886844674305,0.34,10.013819383651063,-1
1772121600,1772197620,sell,5183.2885,5202.667322091846,5135.296444770386,0.31,-6.00743484847223,-1
1772199420,1772208000,buy,5218.001499999999,5239.816587018259,5256.924158401033,0.38,8.289733066938751,-1
1772219460,1772406060,buy,5242.165,5312.539694149848,5283.640645210812,0.36,14.931232275892398,1
1772409660,1772410860,buy,5377.4175000000005,5354.175535413724,5435.067411465692,0.25,-5.81049114656912,-1
1772414160,1772422680,sell,5338.5985,5362.721209972971,5278.746725067573,0.25,-6.03067749324282,-1
1772426220,1772435760,buy,5349.7735,5404.275816359789,5408.047870089848,0.25,14.56859252246204,1
1772438400,1772445840,buy,5408.543500000001,5385.333189336358,5466.114276659106,0.25,-5.802577665910576,-1
1772446140,1772460600,buy,5390.093,5367.925936213492,5445.0556594662685,0.27,-5.985107222357201,-1
1772460900,1772461440,buy,5375.355500000001,5349.820638952353,5438.73765261912,0.23,-5.87301804095895,-1
1772465940,1772467260,sell,5346.869,5286.614937649301,5282.210286853674,0.23,14.871504023654907,1
1772471220,1772482020,sell,5306.7715,5334.145468411692,5238.79157897077,0.22,-6.022273050572185,-1
1772482560,1772499840,sell,5336.0805,5361.454349052656,5273.100877368361,0.23,-5.835985282110815,-1
1772500140,1772517480,sell,5367.455499999999,5315.0179866297085,5306.167357299503,0.24,12.585003208869747,-1
1772517600,1772518440,buy,5319.9039999999995,5294.048278232511,5384.088304418722,0.23,-5.946816006522432,-1
1772524800,1772527200,buy,5326.746,5300.494584802522,5391.919537993695,0.22,-5.775311343445228,-1
1772531100,1772536140,sell,5261.947999999999,5185.4524305019,5190.3561432915685,0.2,14.31837134168618,1
1772538300,1772539620,sell,5131.331999999999,5169.749722007601,5035.742694980995,0.15,-5.762658301140254,-1
1772540640,1772545800,sell,5195.809,5148.606372407521,5094.431931053782,0.14,6.6083678629470715,-1
1772546400,1772548860,buy,5155.6655,5106.230033363448,5278.799166591382,0.12,-5.932255996386302,-1
1772550180,1772553900,sell,5059.0445,5110.739976162514,4930.260809593717,0.11,-5.686502377876523,-1
1772557200,1772586060,sell,5101.4605,5150.959327915637,4978.168430210909,0.12,-5.939859349876424,-1
1772587800,1772619840,buy,5147.923,5189.27848776555,5255.3191221221705,0.13,5.376213409521579,-1
1772628360,1772645160,sell,5167.3414999999995,5136.029812314887,5087.348453824753,0.18,5.636103783320286,-1
1772647200,1772669760,sell,5141.6065,5171.960082456613,5066.177543858466,0.19,-5.7671806667565395,-1
1772670600,1772690820,buy,5172.029,5145.997127473182,5236.653681317045,0.23,-5.9873306811681415,-1
1772692200,1772694000,sell,5142.866499999999,5167.276658025102,5082.296104937243,0.24,-5.858437926024635,-1
1772694900,1772716620,buy,5161.991,5138.514796119548,5220.22650970113,0.25,-5.869050970112994,-1
1772718300,1772722080,sell,5130.242499999999,5103.284933714047,5069.939780879857,0.24,6.469815908628588,-1
